| ÉPOCA: | 0 | ERRO DE APROXIMAÇÃO: | 887.705282075553
| ÉPOCA: | 1 | ERRO DE APROXIMAÇÃO: | 791.7157126741041
| ÉPOCA: | 2 | ERRO DE APROXIMAÇÃO: | 709.1527000695722
| ÉPOCA: | 3 | ERRO DE APROXIMAÇÃO: | 638.6087483758503
| ÉPOCA: | 4 | ERRO DE APROXIMAÇÃO: | 578.4024706298185
| ÉPOCA: | 5 | ERRO DE APROXIMAÇÃO: | 526.8996040018072
| ÉPOCA: | 6 | ERRO DE APROXIMAÇÃO: | 482.65013425759594
| ÉPOCA: | 7 | ERRO DE APROXIMAÇÃO: | 444.4254919916984
| ÉPOCA: | 8 | ERRO DE APROXIMAÇÃO: | 411.2092158158505
| ÉPOCA: | 9 | ERRO DE APROXIMAÇÃO: | 382.16995746223535
| ÉPOCA: | 10 | ERRO DE APROXIMAÇÃO: | 356.6307263902106
| ÉPOCA: | 11 | ERRO DE APROXIMAÇÃO: | 334.040274049092
| ÉPOCA: | 12 | ERRO DE APROXIMAÇÃO: | 313.94861601034046
| ÉPOCA: | 13 | ERRO DE APROXIMAÇÃO: | 295.9869436219384
| ÉPOCA: | 14 | ERRO DE APROXIMAÇÃO: | 279.8514875205955
| ÉPOCA: | 15 | ERRO DE APROXIMAÇÃO: | 265.29069325500143
| ÉPOCA: | 16 | ERRO DE APROXIMAÇÃO: | 252.09507437442514
| ÉPOCA: | 17 | ERRO DE APROXIMAÇÃO: | 240.08918926171967
| ÉPOCA: | 18 | ERRO DE APROXIMAÇÃO: | 229.1252864277317
| ÉPOCA: | 19 | ERRO DE APROXIMAÇÃO: | 219.07825528252945
| ÉPOCA: | 20 | ERRO DE APROXIMAÇÃO: | 209.84159771553612
| ÉPOCA: | 21 | ERRO DE APROXIMAÇÃO: | 201.32419910804938
| ÉPOCA: | 22 | ERRO DE APROXIMAÇÃO: | 193.4477272354833
| ÉPOCA: | 23 | ERRO DE APROXIMAÇÃO: | 186.14452620279857
| ÉPOCA: | 24 | ERRO DE APROXIMAÇÃO: | 179.3559023705667
| ÉPOCA: | 25 | ERRO DE APROXIMAÇÃO: | 173.03072213514665
| ÉPOCA: | 26 | ERRO DE APROXIMAÇÃO: | 167.12425901866862
| ÉPOCA: | 27 | ERRO DE APROXIMAÇÃO: | 161.59724105440037
| ÉPOCA: | 28 | ERRO DE APROXIMAÇÃO: | 156.41505988565106
| ÉPOCA: | 29 | ERRO DE APROXIMAÇÃO: | 151.54711106762682
| ÉPOCA: | 30 | ERRO DE APROXIMAÇÃO: | 146.96624133036508
| ÉPOCA: | 31 | ERRO DE APROXIMAÇÃO: | 142.64828345009218
| ÉPOCA: | 32 | ERRO DE APROXIMAÇÃO: | 138.57166320645715
| ÉPOCA: | 33 | ERRO DE APROXIMAÇÃO: | 134.71706591712967
| ÉPOCA: | 34 | ERRO DE APROXIMAÇÃO: | 131.06715242387196
| ÉPOCA: | 35 | ERRO DE APROXIMAÇÃO: | 127.60631629627004
| ÉPOCA: | 36 | ERRO DE APROXIMAÇÃO: | 124.3204755286264
| ÉPOCA: | 37 | ERRO DE APROXIMAÇÃO: | 121.19689321486283
| ÉPOCA: | 38 | ERRO DE APROXIMAÇÃO: | 118.22402265945648
| ÉPOCA: | 39 | ERRO DE APROXIMAÇÃO: | 115.39137316898552
| ÉPOCA: | 40 | ERRO DE APROXIMAÇÃO: | 112.68939340713371
